,hpoID,Loss_cv1,Loss_cv2,Loss_cv3,Loss_cv4,Loss_cv5,Loss_cv_Avg
31,31.0,0.7034640908241272,0.7058754563331604,0.7247269153594971,0.7255825400352478,0.6862568855285645,0.7091811776161194
32,32.0,0.6305786371231079,0.5951830744743347,0.6214404702186584,0.6118952035903931,0.564889669418335,0.6047974109649659
33,33.0,0.6938126087188721,0.6867122650146484,0.658696711063385,0.6959137320518494,0.6907695531845093,0.6851809740066528
34,34.0,0.6845306754112244,0.548508882522583,0.6528291702270508,0.6588203310966492,0.627763569355011,0.6344905257225036
35,35.0,0.22929126024246216,0.2342972308397293,0.3064224421977997,0.33198392391204834,0.4595606327056885,0.3123110979795456
36,36.0,0.6892297267913818,0.6861457228660583,0.6561374068260193,0.687753438949585,0.69500333070755,0.6828539252281189
37,37.0,0.5873481631278992,0.29893365502357483,0.4208727478981018,0.470735102891922,0.2442397028207779,0.40442587435245514
38,38.0,0.527208685874939,0.5408796668052673,0.44247084856033325,0.5645039677619934,0.4879639148712158,0.5126054167747498
39,39.0,0.5817450881004333,0.5549899339675903,0.5851707458496094,0.5850764513015747,0.501326858997345,0.5616618156433105
40,40.0,0.25465717911720276,0.34492436051368713,0.3027461767196655,0.44128748774528503,0.37094491720199585,0.34291202425956724
41,41.0,0.27563878893852234,0.4228397607803345,0.35245683789253235,0.35185399651527405,0.24546073377132416,0.3296500235795975
42,42.0,0.6565512418746948,0.6349239349365234,0.6914739012718201,0.620760440826416,0.6637188196182251,0.6534856677055358
43,43.0,0.6444490551948547,0.6867126822471619,0.6542826294898987,0.769766628742218,0.5995261073112488,0.6709474205970765
44,44.0,0.669714093208313,0.6930626034736633,0.6336000561714172,0.6623097062110901,0.6414077877998352,0.6600188493728638
45,45.0,0.3146875202655792,0.33830130100250244,0.36563268303871155,0.3698679208755493,0.4352359473705292,0.36474507451057436
46,46.0,0.6318399906158447,0.6657412648200989,0.7175939083099365,0.6691917181015015,0.6586654782295227,0.6686064720153808
47,47.0,0.517166256904602,0.436798095703125,0.5144777297973633,0.34427326917648315,0.37270238995552063,0.4370835483074188
48,48.0,0.6863797903060913,0.7232511043548584,0.654097318649292,0.6957882642745972,0.6909258961677551,0.6900884747505188
49,49.0,0.6655420660972595,0.68841952085495,0.6764094829559326,0.676997721195221,0.7021200060844421,0.681897759437561
50,50.0,0.6825000643730164,0.657050371170044,0.7328943610191345,0.6557421684265137,0.657230019569397,0.6770833969116211
51,51.0,0.6929293870925903,0.7231240272521973,0.6849146485328674,0.6868879199028015,0.6723926067352295,0.6920497179031372
52,52.0,0.5700742602348328,0.37343284487724304,0.37487825751304626,0.3621024787425995,0.33245351910591125,0.4025882720947266
53,53.0,0.7277234792709351,0.6781544089317322,0.6635510325431824,0.5722378492355347,0.6206678152084351,0.6524669170379639
54,54.0,0.6932985782623291,0.6376355290412903,0.6458577513694763,0.6739324331283569,0.635270893573761,0.6571990370750427
55,55.0,0.7049756050109863,0.6111618280410767,0.6934317350387573,0.6074075102806091,0.6308072805404663,0.6495567917823791
56,56.0,0.28798148036003113,0.4416503310203552,0.261491060256958,0.31038445234298706,0.3931863605976105,0.3389387369155884
57,57.0,0.5865437984466553,0.6654667258262634,0.6645494103431702,0.6006945967674255,0.6336256861686707,0.630176043510437
58,58.0,0.5488899946212769,0.6199601888656616,0.6320300102233887,0.47787320613861084,0.5925108194351196,0.5742528438568115
59,59.0,0.7300574779510498,0.6947718262672424,0.7136590480804443,0.7108277678489685,0.7127933502197266,0.7124218940734863
60,60.0,0.6872600317001343,0.7203614115715027,0.6778832077980042,0.6618430018424988,0.7224127650260925,0.6939520835876465
61,61.0,0.6905288696289062,0.588562548160553,0.5960745811462402,0.700714647769928,0.6738163828849792,0.6499394059181214
62,62.0,0.6888954043388367,0.6736851334571838,0.6809121966362,0.6935882568359375,0.708997368812561,0.6892156720161438
63,63.0,0.31317591667175293,0.4459743797779083,0.41848400235176086,0.37208059430122375,0.490765780210495,0.4080961346626282
64,64.0,0.7018650770187378,0.7001085877418518,0.657938539981842,0.7477383613586426,0.7144684791564941,0.7044238090515137
65,65.0,0.6223747134208679,0.6475343704223633,0.7470896244049072,0.6546228528022766,0.6446319818496704,0.6632507085800171
66,66.0,0.7082425355911255,0.7451251149177551,0.6991328001022339,0.6810446381568909,0.6708015203475952,0.7008693218231201
67,67.0,0.2652145028114319,0.302803099155426,0.5122072696685791,0.5572068691253662,0.32246413826942444,0.3919791758060455
68,68.0,0.6757340431213379,0.6320950984954834,0.6909480094909668,0.7131584882736206,0.6852743029594421,0.6794419884681702
