,hpoID,Acc_cv1,Acc_cv2,Acc_cv3,Acc_cv4,Acc_cv5,Acc_cv_Avg
45,45.0,91.53845977783203,92.60401153564453,93.37442779541016,91.06317901611328,91.67951202392578,92.05191802978516
46,46.0,79.53845977783203,55.00770568847656,52.85054016113281,57.47303771972656,87.82743072509766,66.53943481445313
47,47.0,61.69230651855469,91.37134552001953,88.44376373291016,90.44684600830078,91.52542877197266,84.69593811035156
48,48.0,63.07692337036133,56.08628845214844,56.70262145996094,53.15870666503906,46.37904739379883,55.08071746826172
49,49.0,70.92308044433594,58.24345397949219,55.93220520019531,55.77812194824219,45.91679763793945,57.35873184204102
50,50.0,56.92307662963867,75.96302032470703,54.69953918457031,79.96918487548828,81.51001739501953,69.81296768188477
51,51.0,56.61538314819336,56.70262145996094,54.54545593261719,46.68721389770508,72.26502227783203,57.36313934326172
52,52.0,89.84615325927734,87.98151397705078,90.90909576416016,90.90909576416016,89.9845962524414,89.92609100341797
53,53.0,55.53845977783203,55.16178894042969,83.66718292236328,88.44376373291016,87.67334747314453,74.09690856933594
54,54.0,54.30769348144531,84.12943267822266,86.2865982055664,53.77503967285156,81.3559341430664,71.97093963623047
55,55.0,53.69230651855469,90.75501251220703,54.69953918457031,84.74576568603516,87.82743072509766,74.34401092529296
56,56.0,92.92308044433594,89.9845962524414,91.37134552001953,91.67951202392578,87.67334747314453,90.72637634277343
57,57.0,88.46154022216797,69.49153137207031,82.74268341064453,86.44068145751953,84.4375991821289,82.31480712890625
58,58.0,90.30769348144531,86.9029312133789,73.49768829345703,89.3682632446289,85.51618194580078,85.1185516357422
59,59.0,56.0,57.47303771972656,53.62095642089844,54.39137268066406,54.85362243652344,55.2677978515625
60,60.0,44.769229888916016,56.08628845214844,66.10169982910156,63.02003479003906,53.77503967285156,56.750458526611325
61,61.0,57.07692337036133,85.97843170166016,83.97534942626953,55.31587219238281,59.32203674316406,68.33372268676757
62,62.0,62.61538314819336,59.63020324707031,67.64253234863281,45.6086311340332,45.76271438598633,56.2518928527832
63,63.0,92.46154022216797,90.90909576416016,89.83051300048828,89.67642974853516,91.67951202392578,90.91141815185547
64,64.0,55.53845977783203,55.46995544433594,79.81510162353516,54.08320617675781,54.39137268066406,59.859619140625
65,65.0,86.15384674072266,56.54853820800781,53.15870666503906,58.70570373535156,84.59168243408203,67.83169555664062
66,66.0,55.69230651855469,55.31587219238281,53.31278991699219,54.23728942871094,79.35285186767578,59.58222198486328
67,67.0,93.38461303710938,91.67951202392578,79.81510162353516,69.02928161621094,93.37442779541016,85.45658721923829
68,68.0,72.0,85.97843170166016,49.46071243286133,54.54545593261719,53.46687316894531,63.090294647216794
69,69.0,56.30769348144531,54.39137268066406,68.72111511230469,54.85362243652344,52.54237365722656,57.36323547363281
70,70.0,87.07691955566406,89.9845962524414,55.62403869628906,86.13251495361328,89.9845962524414,81.76053314208984
71,71.0,74.0,56.08628845214844,53.92912292480469,79.35285186767578,55.46995544433594,63.767643737792966
72,72.0,66.92308044433594,83.35901641845703,53.31278991699219,85.82434844970703,54.39137268066406,68.76212158203126
73,73.0,62.30769348144531,44.06779861450195,55.77812194824219,45.6086311340332,46.68721389770508,50.88989181518555
74,74.0,89.23076629638672,90.29276275634766,92.29584503173828,87.82743072509766,92.4499282836914,90.41934661865234
75,75.0,87.07691955566406,90.29276275634766,90.29276275634766,92.29584503173828,94.2989273071289,90.85144348144532
