,hpoID,Loss_cv1,Loss_cv2,Loss_cv3,Loss_cv4,Loss_cv5,Loss_cv_Avg
30,30.0,0.7191280126571655,0.663987934589386,0.6664447784423828,0.6569552421569824,0.6563228368759155,0.6725677609443664
31,31.0,0.6555806398391724,0.6678646802902222,0.6890583634376526,0.6813998222351074,0.6880844831466675,0.6763975977897644
32,32.0,0.6084152460098267,0.5812857747077942,0.6363088488578796,0.5810936689376831,0.5387003421783447,0.5891607761383056
33,33.0,0.6669778823852539,0.6609303951263428,0.6760058999061584,0.6813151240348816,0.676432728767395,0.6723324060440063
34,34.0,0.6308035254478455,0.5417622923851013,0.6267107725143433,0.6111748218536377,0.593328595161438,0.6007560014724731
35,35.0,0.2608226239681244,0.24716027081012726,0.3381190598011017,0.33090418577194214,0.4217238426208496,0.31974599659442904
36,36.0,0.6659592390060425,0.6804317235946655,0.6225529909133911,0.6725348830223083,0.7094952464103699,0.6701948165893554
37,37.0,0.7761305570602417,0.29894164204597473,0.42701902985572815,0.5384054183959961,0.2613343298435211,0.46036619544029234
38,38.0,0.5143037438392639,0.5025623440742493,0.4185892641544342,0.539191484451294,0.4914286136627197,0.4932150900363922
39,39.0,0.5553958415985107,0.5176119208335876,0.5662395358085632,0.5525787472724915,0.5184332728385925,0.5420518636703491
40,40.0,0.31855058670043945,0.32218924164772034,0.23235231637954712,0.456508994102478,0.4273096024990082,0.35138214826583863
41,41.0,0.318266898393631,0.38592463731765747,0.34133219718933105,0.3183983266353607,0.2602658271789551,0.32483757734298707
42,42.0,0.6170938014984131,0.6207259893417358,0.6551067233085632,0.6088778972625732,0.6230181455612183,0.6249645113945007
43,43.0,0.6180382370948792,0.6374377012252808,0.6356651782989502,0.6909724473953247,0.5903851985931396,0.6344997525215149
44,44.0,0.6379695534706116,0.6416882872581482,0.5923247933387756,0.6011660695075989,0.6162558197975159,0.61788090467453
45,45.0,0.32511916756629944,0.33093374967575073,0.3239298164844513,0.3553718328475952,0.4498032033443451,0.35703155398368835
46,46.0,0.5781239867210388,0.6277265548706055,0.6765867471694946,0.6258788108825684,0.6332732439041138,0.6283178687095642
47,47.0,0.5751732587814331,0.4472619593143463,0.56001216173172,0.3668704330921173,0.35518965125083923,0.4609014928340912
48,48.0,0.6822537183761597,0.6746066808700562,0.665756344795227,0.6972631812095642,0.720591127872467,0.6880942106246948
